Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,Dominant Hand,NBA Relatives,Seasons Played (College),POS,MPG,PPG,RPG,APG,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,60,PHO,Dwayne Collins,,Miami (FL),6-8,241,Right,0,4,F,29,24.7,4.4,7.3,.604,0.0,0.0,,3.1,5.5,.569,2.9,7.8,1.2,0.6,1.1,2.4,2.3,12.0
2011,1,CLE,Kyrie Irving,,Duke,6-2,180,Right,1,1,G,11,27.5,5.0,9.5,.529,1.6,3.5,.462,5.8,6.5,.901,0.5,3.4,4.3,1.5,0.5,2.5,2.1,17.5
2011,2,MIN,Derrick Williams,,Arizona,6-8,235,Right,0,2,F,38,30.0,5.9,10.0,.595,1.1,1.9,.568,6.5,8.7,.746,2.8,8.3,1.1,1.0,0.7,2.6,2.8,19.5
2011,4,CLE,Tristan Thompson,,Texas,6-8,225,,0,1,F,36,30.7,4.8,8.8,.546,0.0,0.0,,3.5,7.3,.487,3.8,7.8,1.3,0.9,2.4,1.8,2.8,13.1
2011,8,DET,Brandon Knight,,Kentucky,6-3,185,Right,0,1,G,38,35.9,5.7,13.5,.423,2.3,6.1,.377,3.6,4.5,.795,0.7,4.0,4.2,0.7,0.2,3.2,2.2,17.3
2011,9,CHA,Kemba Walker,,UConn,6-1,172,Right,0,3,G,41,37.6,7.7,18.0,.428,1.8,5.5,.330,6.3,7.7,.819,1.3,5.4,4.5,1.9,0.2,2.3,1.4,23.5
2011,10,MIL,Jimmer Fredette,,BYU,6-2,195,Right,0,4,G,37,35.8,9.4,20.7,.452,3.4,8.5,.396,6.8,7.6,.894,0.6,3.4,4.3,1.3,0.0,3.5,1.3,28.9
2011,11,GSW,Klay Thompson,,Washington State,6-6,200,Right,2,3,G,34,34.7,7.1,16.2,.436,2.9,7.2,.398,4.6,5.4,.838,0.7,5.2,3.7,1.6,0.9,3.4,2.9,21.6
2011,12,UTA,Alec Burks,,Colorado,6-6,195,Right,0,2,G,38,31.4,6.6,14.1,.469,0.7,2.5,.292,6.6,7.9,.825,2.4,6.5,2.9,1.1,0.3,2.6,2.3,20.5
2011,13,PHO,Markieff Morris,,Kansas,6-10,245,Right,1,3,C,38,24.4,5.1,8.7,.589,0.7,1.6,.424,2.7,4.0,.673,2.7,8.3,1.4,0.8,1.1,2.1,2.8,13.6
