NBA Career Score,Name,Age,Height,Weight,NBA Connection,Seasons Played (College),G,GS%,MPG,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,BPM,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg
1.5,Josh Jackson,20.37,203,93,0,1,35,100,30.8,24.2,0.559,8.7,17.5,13.3,18.2,3.1,3.5,15.9,27.2,0.18,9.9,11.5,22.3,1.8,4.7,5.1,9,4.2,9.2,13.4,5.4,3.1,1.9,5,5.4,29.8,110.9,96.1
4.25,De'Aaron Fox,19.51,190,84,0,1,36,94.44,29.6,22.7,0.549,2.1,12.2,7.2,28.6,2.7,0.7,13.7,27.5,0.192,8.2,10.8,22.6,0.9,3.5,7.9,10.7,1.1,6.2,7.2,8.3,2.7,0.4,4.4,4.6,30.4,113.6,96.9
2.5,Jonathan Isaac,19.73,208,95,0,1,32,100,26.2,24.6,0.614,7.7,25.1,16.7,7.5,2.4,6.2,13.3,20.3,0.205,10,8.5,16.8,2,5.8,6,7.8,3.7,12.8,16.5,2.4,2.4,3.2,3.2,4.6,25.2,122.2,93.6
4,Lauri Markkanen,20.09,213,104,0,1,37,100,30.8,25,0.635,10,17.5,14,5.6,0.8,1.8,8.1,22.5,0.235,9.4,9.7,19.6,3.6,8.5,7.1,8.6,4.6,9.3,13.9,1.7,0.8,1,2.1,3.8,30,134.1,100.4
2,Dennis Smith Jr.,19.58,190,88,0,1,32,100,34.8,23.1,0.563,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,0.142,6.5,9.5,21,2.7,7.6,7.1,10,1.3,6,7.3,9.8,3.1,0.7,5.4,3.3,29,112.2,109.1
3,Zach Collins,19.6,213,104,0,1,39,0,17.3,31,0.703,12.1,23.3,18.4,4.4,1.5,9.8,17.8,24.8,0.299,10.6,11.3,17.3,0.8,1.8,9.2,12.4,5.5,13.7,19.3,1.3,1.5,5.8,5,8.8,32.7,125.3,79.5
3,Malik Monk,19.39,190,90,0,1,38,97.37,32.1,21.5,0.586,1.1,7.3,4.2,13.3,1.6,1.5,10.4,27.2,0.189,9,11.1,24.7,4.6,11.6,6.5,8,0.5,3.7,4.2,3.8,1.6,0.8,3.3,3.2,33.3,118.2,100.8
3,Luke Kennard,21,196,81,0,2,37,97.3,35.5,24.4,0.629,3.9,12.1,8.2,13.6,1.4,0.9,9.3,24,0.217,10.3,10.3,21.1,3.8,8.8,7,8.1,1.9,6.3,8.2,4,1.4,0.6,2.6,3.6,31.5,130.5,104.4
4.5,Donovan Mitchell,20.8,190,95,0,2,34,97.06,32.3,21.8,0.534,3.7,12.9,8.3,16,3.7,1.7,10.2,24.6,0.197,11.1,9.6,23.6,4.3,12,4.6,5.7,2,6.8,8.8,4.9,3.7,0.9,3,4.7,28.1,116.3,94.1
4.25,Bam Adebayo,19.94,208,117,0,1,38,100,30.1,22,0.624,11.1,17.3,14.2,4.7,1.2,4.9,13.9,18.5,0.196,8.2,8,13.3,0,0,7.2,11.1,5.5,8.7,14.3,1.5,1.2,2.7,3,4.7,23.2,123.7,95.8
2,Justin Jackson,22.25,203,87,0,3,40,97.5,32,21.3,0.555,4.8,10.8,7.8,15.8,1.3,0.8,9.5,25.7,0.191,9.8,11.4,25.6,4.5,12.2,4.2,5.6,2.5,5.5,8,4.9,1.3,0.4,3,2.4,31.4,121.2,102.4
0,Justin Patton,20.03,211,97,0,1,35,97.14,25.3,25.2,0.671,8,19,13.9,8.5,1.9,5.9,15.1,22,0.194,8.4,12.4,18.4,0.5,0.9,2.8,5.4,3.7,9.9,13.5,2.5,1.9,3.1,3.7,6,28.1,119.8,96.1
1.5,D.J. Wilson,21.35,206,99,0,3,38,94.74,30.4,20.9,0.628,6.6,16.5,11.6,8.5,1.1,5.2,11.2,18.3,0.166,7.9,8.9,16.6,2.2,6,2.7,3.3,3.1,7.9,11,2.7,1.1,3.1,2.3,3.9,22.7,124.1,103
1.5,T.J. Leaf,20.15,208,102,1,1,35,100,29.9,26.6,0.66,9,19.7,14.9,13.2,1.1,3.5,10.8,22,0.22,8.6,12.1,19.6,1.4,3,3.7,5.5,4,10.7,14.8,4.4,1.1,2,2.7,4.6,29.3,130.6,101.2
3,John Collins,19.75,208,98,0,2,33,100,26.6,35.9,0.658,16.4,25.6,21.1,4.5,1.3,6.6,11.1,29.9,0.256,9.9,14.9,23.9,0,0.1,10.4,14,7.9,12.7,20.6,1.1,1.3,3.3,3.8,6.2,40.1,129.9,105
1.5,Harry Giles,19.18,208,108,0,1,26,23.08,11.5,19.8,0.57,16.4,21.6,19.1,5.6,1.7,5.3,16.8,17.9,0.164,4.4,8.6,14.9,0,0,2.3,4.6,7.8,11.3,19.1,1.7,1.7,3.2,3.4,11.1,19.5,115.2,96.7
3.5,Jarrett Allen,19.18,211,106,0,1,33,100,32.2,20.3,0.571,10.9,18.9,14.9,5.7,1,5,17.8,22.6,0.124,5.2,9.8,17.4,0,0.4,4.6,8.2,5.5,9.8,15.3,1.5,1,2.8,4.6,3.7,24.3,104.9,99.9
3.5,OG Anunoby,19.94,203,97,0,2,16,62.5,25.1,23.8,0.611,8.5,16.1,12.5,11,3,5.5,15.2,20.8,0.172,8.9,9.7,17.5,2,6.4,3.9,6.9,4,8.4,12.5,3.3,3,3,3.7,4.7,25.3,118.5,99.4
0,Tyler Lydon,21.21,203,92,0,2,34,100,36.1,20.3,0.599,7.7,19.2,13.7,10.8,1.7,4.7,13.6,18,0.157,7,7.3,15.3,2.4,6,4.7,5.6,3.8,10.3,14.1,3.4,1.7,2.4,2.8,4,21.5,121.5,102.8
0,Caleb Swanigan,20.19,206,117,0,2,35,100,32.5,26.2,0.62,10.7,32.7,22.5,18.9,0.8,2.5,18.5,28.1,0.224,9.4,11.1,21.1,1.9,4.3,8.2,10.5,4.8,17.1,21.9,5.4,0.8,1.4,5.9,4.9,32.4,116.2,92.7
3,Kyle Kuzma,21.92,206,86,0,3,29,100,30.8,25,0.565,11.3,23.3,17.7,15.2,1.1,1.6,12.8,27,0.204,6.3,11.6,23,1.7,5.4,5.4,8.1,5.2,12.1,17.3,4.5,1.1,0.9,4,2.9,30.4,115.8,96.3
1.5,Tony Bradley,19.46,208,108,0,1,38,0,14.6,26.2,0.59,18.6,19,18.8,7.2,1,4.4,9.9,20.7,0.225,7.9,10.2,17.7,0,0,6.5,10.5,9.8,9.7,19.4,2.3,1,2.2,2.5,6.9,26.8,129.2,97.7
3.5,Derrick White,22.98,196,87,0,1,34,94.12,32.8,27.3,0.627,3.5,10.5,7,28.6,2.2,4.9,14.2,25.3,0.211,12.4,10.7,21,3,7.5,7.7,9.5,1.8,5.4,7.2,7.7,2.2,2.5,4.2,3.7,32,124.9,104
3,Josh Hart,22.31,196,92,0,4,36,97.22,33.1,28.2,0.619,5.8,17.6,12.2,18.8,2.9,1,11.5,27.8,0.257,12,12.1,23.7,3.8,9.3,6.5,8.7,2.6,9.1,11.7,5.4,2.9,0.5,3.6,4.1,34.4,125.1,94.5
2,Frank Jackson,19.14,190,92,0,1,36,44.44,24.9,17,0.598,3.1,8.3,5.8,12.6,1.3,0.2,12.9,21.1,0.147,5.1,8.5,18,3.3,8.3,4.9,6.5,1.5,4.3,5.8,3.9,1.3,0.1,3.1,5.4,25.2,119,106.4
1.5,Davon Reed,22.04,198,94,0,4,33,100,35.3,19.7,0.58,2.9,13.1,8.1,14.3,2.3,1.5,13.7,22.2,0.163,8.2,8.5,19.7,4.2,10.6,4.8,5.7,1.5,6.9,8.4,4.2,2.3,0.8,3.6,2.8,26.1,115.9,100.3
1.5,Wes Iwundu,22.51,201,92,0,4,35,100,31.4,20.1,0.585,4.1,20,12.3,22.9,1.9,1.2,17.2,22.3,0.16,7.5,8.1,16.9,1.7,4.6,6.6,8.6,1.9,10,11.9,6.5,1.9,0.6,4.4,3.4,24.6,113.5,100
1.5,Frank Mason III,23.23,180,83,0,4,36,100,36.1,25.5,0.622,2,10.5,6.4,26.1,2,0.2,12.4,25.6,0.23,11.3,10.4,21.2,3.5,7.5,8.1,10.3,0.9,5.5,6.5,8.1,2,0.1,3.7,3.1,32.4,128.6,103.5
1.5,Ivan Rabb,20.39,211,99,0,2,31,96.77,32.6,21.7,0.541,10.7,25.7,18.3,10.9,1.3,3.3,14.3,23.8,0.18,6.4,9,18.6,0.5,1.2,7.4,11.1,5.6,13.7,19.3,2.9,1.3,1.8,4,5.7,25.9,109.9,91.6
0,Jonah Bolden,21.48,208,97,0,1,31,35.48,21.7,12.4,0.499,5.8,17.5,11.8,7.8,1.7,4.2,15.3,12.1,0.086,3.7,4.2,10.2,0.7,3,2.7,3.7,3,9.5,12.5,2.7,1.7,2.2,2.2,5.3,12,105.9,103.7
2,Semi Ojeleye,22.55,203,104,0,4,35,100,34.1,26.5,0.621,8.4,15,11.9,9.3,0.8,1.6,8.5,25.9,0.257,9.3,11,22.6,3.8,9,9,11.5,4.2,8.4,12.6,2.8,0.8,0.7,2.6,3.3,34.9,131.8,98
2,Jordan Bell,22.46,201,86,0,3,39,97.44,28.8,26.4,0.658,12.2,22.4,17.6,11.4,2.5,8.5,18.8,18,0.222,10.8,8.8,13.9,0.2,0.7,4.2,6,5.8,11.9,17.7,3.6,2.5,4.5,3.9,3.5,22.1,123.8,89.1
