Draft Year,Pick Number,NBA Team,POS,Name,Age,College,Height,Weight,NBA Relatives,Seasons Played (College),C_G,C_GS,C_GS%,C_MPG,C_FG,C_FGA,C_FG%,C_3P,C_3PA,C_3P%,C_FT,C_FTA,C_FT%,C_DRB,C_ORB,C_TRB,C_AST,C_STL,C_BLK,C_TOV,C_PF,C_PTS,C_PER,C_TS%,C_3PAr,C_FTr,C_PProd,C_ORB%,C_DRB%,C_TRB%,C_AST%,C_STL%,C_BLK%,C_TOV%,C_USG%,C_OWS,C_DWS,C_WS,C_WS/40,C_OBPM,C_DBPM,C_BPM,C_FG/40,C_FGA/40,C_3P/40,C_3PA/40,C_FT/40,C_FTA/40,C_ORB/40,C_DRB/40,C_TRB/40,C_AST/40,C_STL/40,C_BLK/40,C_TOV/40,C_PF/40,C_PTS/40,C_FG/100,C_FGA/100,C_3P/100,C_3PA/100,C_FT/100,C_FTA/100,C_ORB/100,C_DRB/100,C_TRB/100,C_AST/100,C_STL/100,C_BLK/100,C_TOV/100,C_PF/100,C_PTS/100,C_ORtg,C_DRtg,CT_Win%,CT_PTS/G,CT_PTSA/G,CT_SRS,CT_SOS,CT_ORtg,CT_DRtg,C_AST_TO,C_ORB_DRB,C_BLK_MPG,BMI,C_STOCKS/40,Wingspan,Wingspan/Height,Weight/Height
2025,11,POR,"SG,SF",Cedric Coward,21.79,Washington State,78.5,213,0,3,6,6,1,33,5.7,10.2,0.557,2,5,0.4,4.3,5.2,0.839,5.2,1.8,7,3.7,0.8,1.7,2.2,2.7,17.7,26,0.7,0.492,0.508,104,7,17.2,12.4,20.7,1.4,5.3,14.7,22.1,0.8,0.2,1,0.21,7,2.2,9.3,6.9,12.3,2.4,6.1,5.3,6.3,2.2,6.3,8.5,4.4,1,2,2.6,3.2,21.4,9.6,17.2,3.4,8.5,7.3,8.7,3.1,8.7,11.8,6.2,1.4,2.8,3.7,4.5,29.9,135.2,108.9,0.559,78.9,78.6,4.67,4.32,109.8,109.3,1.682,0.346,0.052,21.937,3,86.25,1.099,2.713
2025,13,ATL,C,Derik Queen,20.49,Maryland,82.5,248,0,1,36,36,1,30.4,5.8,11.1,0.526,0.2,1,0.2,4.6,6.1,0.766,6.6,2.3,9,1.9,1.1,1.1,2.4,2.1,16.5,24.7,0.591,0.088,0.546,584,9,24.6,16.9,11.6,2,3.8,14.5,26.6,3.1,2.8,5.9,0.216,5.1,4.2,9.2,7.7,14.6,0.3,1.3,6.1,8,3.1,8.7,11.8,2.5,1.4,1.4,3.1,2.8,21.7,10.9,20.8,0.4,1.8,8.7,11.3,4.4,12.4,16.8,3.5,2,2,4.4,4,30.9,117,92.4,0.75,81.1,67.2,23.33,9.41,114.8,95.1,0.792,0.348,0.036,25.656,2.8,84.5,1.024,3.006
2025,14,SAS,"SF,PF",Carter Bryant,19.58,Arizona,79.75,215,0,1,37,5,0.135,19.3,2.2,4.8,0.46,1.1,2.8,0.371,1.1,1.6,0.695,3.2,0.9,4.1,1,0.9,1,1,2.3,6.5,16.6,0.593,0.597,0.335,228,5.3,17.8,11.9,8.3,2.8,5.8,15.4,16.4,1.2,1.4,2.5,0.142,3.5,5.3,8.8,4.5,9.9,2.2,5.9,2.3,3.3,1.8,6.7,8.5,2,2,2.1,2.1,4.8,13.6,6.4,14,3.1,8.4,3.3,4.7,2.5,9.5,12.1,2.9,2.8,2.9,2.9,6.8,19.2,116.5,100.1,0.649,82.5,73.3,22.94,13.72,116.3,103.3,1,0.281,0.052,24.752,4.1,83.75,1.05,2.696
2025,15,OKC,"PF,C",Thomas Sorber,19.5,Georgetown,82.5,263,0,1,24,23,0.958,31.3,5.5,10.4,0.532,0.3,1.5,0.162,3.2,4.4,0.724,5.8,2.7,8.5,2.4,1.5,2,2.3,2.2,14.5,24.7,0.58,0.148,0.42,347,9.5,21.9,15.6,15.6,2.7,7.6,15.3,23.6,1.7,1.7,3.4,0.179,4.1,4.4,8.5,7.1,13.3,0.3,2,4,5.6,3.4,7.4,10.8,3.1,1.9,2.6,2.9,2.8,18.5,10.3,19.4,0.5,2.9,5.9,8.2,5,10.8,15.8,4.5,2.7,3.8,4.2,4.1,27,114.7,96.7,0.529,72,69.6,8.18,5.77,105.2,101.6,1.043,0.466,0.064,26.581,4.5,90,1.091,3.188
2025,18,WAS,PG,Walter Clayton,22.31,Florida,75.25,199,0,4,39,39,1,32.6,6,13.4,0.448,3,7.8,0.386,3.2,3.7,0.875,3.3,0.4,3.7,4.2,1.2,0.5,2.4,1.9,18.3,21.6,0.602,0.578,0.275,679,1.2,10.3,6,23.2,2.1,1.6,13.7,25.6,4.4,2.1,6.5,0.206,7.8,3.4,11.2,7.4,16.5,3.7,9.5,4,4.5,0.4,4.1,4.5,5.1,1.4,0.6,3,2.3,22.4,10.5,23.4,5.2,13.5,5.6,6.4,0.6,5.8,6.4,7.3,2.1,0.9,4.2,3.3,31.8,124.4,102.4,0.9,84.8,69.6,27.77,12.6,120.1,98.6,1.75,0.121,0.015,24.898,2,76,1.01,2.645
2025,20,MIA,"PG,SG",Kasparas Jakucionis,19.07,Illinois,78,205,0,1,33,33,1,31.8,4.5,10.3,0.44,1.6,5.2,0.318,4.3,5.1,0.845,4.3,1.4,5.7,4.7,0.9,0.3,3.7,2.7,15,17.4,0.59,0.501,0.496,529,4.9,13.6,9.5,26,1.5,0.8,22.7,24.2,2.2,1.5,3.7,0.141,4,2.6,6.6,5.7,12.9,2.1,6.5,5.4,6.4,1.8,5.4,7.2,5.9,1.1,0.3,4.7,3.3,18.8,7.8,17.9,2.8,9,7.5,8.8,2.4,7.5,9.9,8.2,1.5,0.5,6.5,4.6,26,112.1,105.2,0.629,83.6,74.8,21.59,12.79,114.8,102.7,1.27,0.326,0.009,23.467,1.4,79.75,1.022,2.628
2025,21,UTA,"SG,SF",Will Riley,19.37,Illinois,81.5,186,0,1,35,9,0.257,25.7,4.4,10.3,0.432,1.3,4.1,0.326,2.4,3.3,0.724,2.9,1.2,4.1,2.2,0.3,0.3,1.2,1.2,12.6,17.4,0.532,0.401,0.323,429,5.2,11.6,8.5,16.1,0.6,1,9.2,23.8,2.3,1,3.3,0.146,4.8,1.7,6.5,6.9,16,2.1,6.4,3.7,5.2,1.9,4.6,6.5,3.5,0.4,0.4,1.9,1.9,19.6,9.5,22.1,2.9,8.9,5.2,7.1,2.6,6.3,8.9,4.8,0.6,0.6,2.6,2.6,27.2,118,108.2,0.629,83.6,74.8,21.59,12.79,114.8,102.7,1.833,0.414,0.012,21.355,0.8,80.75,0.991,2.282
2025,22,ATL,SG,Drake Powell,19.79,UNC,78.5,200,0,1,37,24,0.649,25.6,2.8,5.7,0.483,1,2.6,0.379,0.9,1.5,0.648,2.7,0.7,3.4,1.1,0.7,0.7,0.7,1.8,7.4,12.9,0.581,0.45,0.256,258,3.3,11.4,7.5,7,1.6,2.8,10.2,13.8,1.4,1.1,2.5,0.106,2.8,3.3,6.1,4.3,8.9,1.5,4,1.5,2.3,1.1,4.2,5.3,1.7,1.1,1.1,1.1,2.7,11.6,6.1,12.6,2.1,5.7,2.1,3.2,1.6,5.9,7.5,2.4,1.6,1.5,1.6,3.9,16.4,118,107.9,0.622,80.7,74.7,17.27,11.22,113.4,104.9,1.571,0.259,0.027,22.447,2.2,84,1.07,2.548
2025,23,IND,PF,Asa Newell,19.72,Georgia,82.25,224,0,1,33,33,1,29,5.8,10.7,0.543,0.8,2.7,0.292,3.1,4.1,0.748,3.5,3.3,6.9,0.9,1,1,1.1,2.4,15.4,26.1,0.612,0.253,0.384,483,13.9,13.5,13.7,6.7,2,3.8,8.2,23.5,3.8,1.4,5.2,0.218,7.6,2,9.6,8,14.7,1.1,3.7,4.2,5.6,4.6,4.9,9.5,1.2,1.4,1.3,1.5,3.3,21.3,11.6,21.4,1.6,5.4,6.1,8.2,6.7,7.1,13.8,1.8,2,1.9,2.3,4.9,31,131.5,104.2,0.606,75.3,69.9,16.36,10.94,109.8,101.9,0.818,0.943,0.034,22.237,2.7,83.25,1.012,2.723
2025,24,OKC,"SG,SF",Nique Clifford,23.37,Colorado State,78.5,202,0,5,36,36,1,35.4,6.6,13.3,0.496,1.8,4.9,0.377,3.9,5,0.777,8.1,1.5,9.6,4.4,1.2,0.6,2.6,2.4,18.9,25.1,0.603,0.365,0.373,686,5.4,26,16.4,26.8,2,2,14.1,27.7,4.1,2.9,7,0.22,7.2,3.8,11.1,7.5,15.1,2.1,5.5,4.4,5.6,1.7,9.2,10.9,5,1.4,0.7,2.9,2.7,21.4,11.3,22.7,3.1,8.3,6.6,8.5,2.5,13.9,16.4,7.6,2,1,4.4,4.1,32.3,119.2,96.1,0.722,75.2,67.3,13.94,6.05,112.3,100.5,1.692,0.185,0.017,20.564,2.1,80,1.019,2.573
2025,25,ORL,"SG,PG",Jase Richardson,19.69,Michigan State,73.75,178,1,1,36,15,0.417,25.3,4,8.1,0.493,1.3,3.2,0.412,2.8,3.4,0.836,2.7,0.6,3.3,1.9,0.8,0.3,0.8,1.5,12.1,20.7,0.624,0.39,0.418,390,3,11.4,7.4,14.4,1.9,1.4,7.9,20.6,3.1,1.7,4.8,0.209,6.5,5.1,11.6,6.3,12.8,2.1,5,4.5,5.4,1,4.2,5.2,3,1.3,0.5,1.3,2.4,19.2,9.2,18.6,3,7.3,6.5,7.8,1.5,6.1,7.6,4.3,1.9,0.7,1.9,3.5,27.8,132,100.3,0.811,77.7,67.1,22.43,11.89,112.3,97,2.375,0.222,0.012,22.992,1.8,78,1.058,2.414
2025,27,BRK,"PF,C",Danny Wolf,21.14,Michigan,83.75,252,0,3,37,37,1,30.5,5,10.1,0.497,1,3.1,0.336,2.1,3.6,0.594,7.4,2.3,9.7,3.6,0.7,1.4,3.2,2.1,13.2,19.4,0.559,0.302,0.356,520,9.1,25,17.7,22.8,1.3,4.6,21.5,24.2,1.5,2.5,4.1,0.144,4.3,5.2,9.5,6.6,13.3,1.3,4,2.8,4.7,3,9.8,12.8,4.7,0.9,1.8,4.3,2.7,17.3,9.3,18.7,1.9,5.7,4,6.7,4.3,13.8,18,6.6,1.3,2.5,6,3.8,24.5,105.7,96.1,0.73,78,71.5,20.2,13.69,109.5,100.3,1.125,0.311,0.046,25.348,2.7,86.25,1.03,3.009
2025,29,PHO,SF,Liam McNeeley,19.71,UConn,80,215,0,1,27,26,0.963,32.1,4.4,11.5,0.381,1.7,5.4,0.317,4.1,4.7,0.866,5,0.9,6,2.3,0.6,0.2,1.9,2,14.5,16.1,0.529,0.468,0.41,370,3.7,18.7,11.5,13.1,1.1,0.8,11.9,25.6,1.8,1.1,2.9,0.132,2.6,0.8,3.4,5.4,14.3,2.1,6.7,5.1,5.9,1.2,6.3,7.4,2.8,0.7,0.3,2.3,2.5,18.1,8.4,22.1,3.3,10.4,7.9,9.1,1.8,9.7,11.5,4.4,1.1,0.4,3.6,3.9,28,112.5,107.1,0.686,77,68,17.87,8.87,117.6,103.9,1.211,0.18,0.006,23.514,1,80.5,1.006,2.688
2025,30,LAC,C,Yanic Konan Niederhauser,22.28,Penn State,84.5,243,0,3,29,29,1,25.1,4.9,8.1,0.611,0,0.4,0.091,3,4.5,0.664,4.3,2.1,6.3,0.8,0.7,2.3,1.7,2.5,12.9,24.3,0.631,0.047,0.56,342,10,19.9,15.1,6.1,1.5,10.2,13.9,23.5,1.9,1.4,3.3,0.179,2.9,3.1,6.1,7.9,12.9,0.1,0.6,4.8,7.2,3.3,6.8,10.1,1.2,1,3.7,2.6,4,20.5,11.1,18.1,0.1,0.9,6.7,10.1,4.6,9.6,14.2,1.7,1.5,5.2,3.7,5.6,28.9,118.9,100.2,0.516,79.1,73.2,13.57,7.7,111.4,103.1,0.471,0.488,0.092,22.42,4.7,87.25,1.033,2.876
