=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
  17 | Branden Dawson                 | PF    |       0.96 |     0.00
  18 | Jordan Mickey                  | PF    |       0.90 |     0.50
  19 | Jarell Martin                  | PF    |       0.69 |     0.50

--- Draft Class 2016, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Brandon Ingram                 | SF,PF |       3.25 |     4.50
   2 | Henry Ellenson                 | PF,C  |       2.05 |     0.50
   3 | Cheick Diallo                  | C,PF  |       2.00 |     0.50
   4 | Brice Johnson                  | PF    |       1.98 |     0.00
   5 | Georges Niang                  | PF    |       1.72 |     2.50
   6 | Pascal Siakam                  | PF    |       1.72 |     4.50
   7 | Marquese Chriss                | PF    |       1.69 |     2.50
   8 | Domantas Sabonis               | C,PF  |       1.66 |     4.50
   9 | Joel Bolomboy                  | PF    |       1.27 |     0.00
  10 | Ben Bentil                     | PF    |       1.10 |     0.00
  11 | Taurean Prince                 | PF,SF |       1.08 |     3.00
  12 | Skal Labissi̬re               | PF,C  |       1.01 |     1.00

--- Draft Class 2017, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Jonathan Isaac                 | PF    |       3.46 |     3.00
   2 | OG Anunoby                     | SF,PF |       3.20 |     4.00
   3 | Jayson Tatum                   | SF,PF |       3.17 |     5.00
   4 | T.J. Leaf                      | PF    |       3.04 |     0.50
   5 | Zach Collins                   | C,PF  |       2.97 |     2.50
   6 | John Collins                   | PF    |       2.57 |     4.00
   7 | Bam Adebayo                    | C,PF  |       2.53 |     4.50
   8 | Justin Jackson                 | SF,PF |       2.37 |     1.00
   9 | Caleb Swanigan                 | PF,C  |       2.27 |     0.50
  10 | Alec Peters                    | PF    |       1.85 |     0.00
  11 | Lauri Markkanen                | PF,SF |       1.71 |     4.50
  12 | Semi Ojeleye                   | PF    |       1.43 |     0.50
  13 | Harry Giles                    | C,PF  |       1.38 |     2.50
  14 | Ivan Rabb                      | PF    |       1.34 |     0.00
  15 | Tyler Lydon                    | PF    |       1.31 |     0.00
  16 | Kyle Kuzma                     | PF,SF |       1.00 |     3.00
  17 | D.J. Wilson                    | PF    |       1.00 |     1.00
  18 | Jonah Bolden                   | C,PF  |       0.80 |     0.00

--- Draft Class 2018, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Marvin Bagley III              | C,PF  |       3.65 |     1.00
   2 | Wendell Carter Jr.             | C,PF  |       2.82 |     4.00
   3 | Jaren Jackson Jr.              | C,PF  |       2.67 |     4.50
   4 | Jarred Vanderbilt              | PF    |       2.10 |     3.00
   5 | Kevin Knox                     | SF,PF |       1.87 |     1.00
   6 | Kevin Hervey                   | PF    |       1.43 |     0.00
   7 | Miles Bridges                  | SF,PF |       1.41 |     4.00
   8 | Kostas Antetokounmpo           | PF,SF |       1.35 |     0.50
   9 | Keita Bates-Diop               | SF,PF |       1.23 |     1.00
  10 | Ray Spalding                   | PF,C  |       1.11 |     0.00
  11 | Omari Spellman                 | C,PF  |       0.94 |     0.00
  12 | Justin Jackson                 | SF,PF |       0.59 |     0.00
  13 | Chimezie Metu                  | C,PF  |       0.48 |     1.00

--- Draft Class 2019, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Zion Williamson                | PF    |       3.24 |     4.50
   2 | Bol Bol                        | PF    |       2.62 |     2.50
   3 | Brandon Clarke                 | PF    |       2.47 |     1.00
   4 | Chuma Okeke                    | PF,SF |       2.08 |     1.00
   5 | Grant Williams                 | PF    |       1.99 |     2.50
   6 | Rui Hachimura                  | PF    |       1.87 |     3.00
