=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
   3 | Shai Gilgeous-Alexander        | PG,SG |       3.08 |     5.00
   4 | Collin Sexton                  | SG,PG |       2.74 |     3.00
   5 | Donte DiVincenzo               | SG    |       2.31 |     3.00
   6 | Lonnie Walker IV               | SG    |       1.85 |     1.00
   7 | De'Anthony Melton              | PG,SG |       1.68 |     2.50
   8 | Jacob Evans                    | SG    |       1.60 |     0.00
   9 | Jevon Carter                   | PG    |       1.59 |     1.00
  10 | Jalen Brunson                  | PG,SG |       1.53 |     5.00
  11 | Tony Carr                      | PG,SG |       1.29 |     0.00
  12 | Devon Hall                     | PG    |       1.05 |     0.00
  13 | Devonte' Graham                | PG    |       1.02 |     3.00
  14 | Jerome Robinson                | SG    |       0.96 |     0.50
  15 | Melvin Frazier                 | SG    |       0.88 |     0.50
  16 | Shake Milton                   | SG    |       0.85 |     1.00
  17 | Landry Shamet                  | SG    |       0.83 |     2.50
  18 | Khyri Thomas                   | SG    |       0.78 |     0.50
  19 | Bruce Brown                    | SG    |       0.68 |     3.00
  20 | Grayson Allen                  | SG    |       0.51 |     3.00
  21 | Aaron Holiday                  | PG    |       0.51 |     1.00

--- Draft Class 2019, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Tyler Herro                    | SG    |       3.38 |     4.50
   2 | Coby White                     | PG,SG |       3.17 |     4.00
   3 | Ja Morant                      | PG    |       3.12 |     5.00
   4 | Kyle Guy                       | SG,PG |       2.25 |     0.50
   5 | Romeo Langford                 | SG    |       2.04 |     0.50
   6 | Carsen Edwards                 | SG    |       1.95 |     0.50
   7 | Jaylen Nowell                  | SG    |       1.83 |     1.00
   8 | Jordan Poole                   | SG,PG |       1.75 |     4.00
   9 | Talen Horton-Tucker            | SG,PG |       1.52 |     2.50
  10 | Ty Jerome                      | SG    |       1.37 |     3.00
  11 | Jaylen Hands                   | PG,SG |       1.26 |     0.00
  12 | Darius Garland                 | PG,SG |       1.25 |     4.50
  13 | Nickeil Alexander-Walker       | SG    |       1.08 |     1.00
  14 | Justin Wright-Foreman          | PG    |       1.06 |     0.00
  15 | Tremont Waters                 | PG    |       0.95 |     0.50
  16 | Jordan Bone                    | PG    |       0.87 |     0.00
  17 | Quinndary Weatherspoon         | SG    |       0.65 |     0.50
  18 | Marial Shayok                  | SG    |       0.57 |     0.00

--- Draft Class 2020, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Tyrese Haliburton              | PG,SG |       2.64 |     5.00
   2 | Tyrell Terry                   | PG    |       2.59 |     0.00
   3 | Kira Lewis Jr.                 | PG    |       2.43 |     0.50
   4 | Nico Mannion                   | PG    |       1.57 |     0.00
   5 | Jahmi'us Ramsey                | SG    |       1.53 |     0.50
   6 | Cassius Stanley                | SG    |       1.49 |     0.00
   7 | Josh Green                     | SG    |       1.42 |     2.50
   8 | Cole Anthony                   | PG    |       1.39 |     3.00
   9 | Payton Pritchard               | PG,SG |       1.37 |     3.00
  10 | Saben Lee                      | PG    |       1.32 |     0.50
  11 | Malachi Flynn                  | PG    |       1.26 |     0.50
  12 | Anthony Edwards                | SG    |       1.25 |     5.00
  13 | Cassius Winston                | PG    |       1.23 |     0.00
  14 | Tyrese Maxey                   | PG,SG |       1.18 |     4.50
  15 | Desmond Bane                   | SG    |       1.17 |     4.50
  16 | Tre Jones                      | PG    |       1.09 |     3.00
  17 | Isaiah Joe                     | SG    |       1.04 |     2.50
  18 | Justinian Jessup               | SG    |       0.87 |     0.00
  19 | Sam Merrill                    | SG    |       0.86 |     2.50
  20 | Skylar Mays                    | SG,PG |       0.74 |     1.00
  21 | Immanuel Quickley              | PG,SG |       0.67 |     4.00
  22 | Jalen Harris                   | SG    |       0.64 |     0.00
  23 | Grant Riller                   | PG    |       0.58 |     0.00

--- Draft Class 2021, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Cade Cunningham                | PG,SG |       3.12 |     5.00
   2 | Moses Moody                    | SG    |       2.87 |     2.50
   3 | Sharife Cooper                 | PG    |       2.66 |     0.00
   4 | Jalen Suggs                    | SG,PG |       2.62 |     4.00
   5 | Cam Thomas                     | SG    |       2.57 |     3.00
   6 | Jared Butler                   | PG,SG |       2.31 |     0.50
   7 | Josh Christopher               | SG    |       2.11 |     0.50
   8 | Jaden Springer                 | SG,PG |       1.92 |     0.50
   9 | David Johnson                  | PG,SG |       1.85 |     0.00
  10 | Dalano Banton                  | PG    |       1.83 |     2.50
  11 | Miles McBride                  | PG    |       1.80 |     2.50
  12 | James Bouknight                | SG    |       1.75 |     0.50
  13 | Ayo Dosunmu                    | SG    |       1.64 |     3.00
  14 | Scottie Lewis                  | SG    |       1.61 |     0.00
  15 | Quentin Grimes                 | SG    |       1.52 |     3.00
  16 | Tre Mann                       | PG    |       1.30 |     2.50
  17 | Jason Preston                  | PG    |       1.24 |     0.00
