=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
  14 | Jordan Bell                    | C     |       1.41 |     1.00
  15 | Tyler Lydon                    | PF    |       1.31 |     0.00
  16 | Semi Ojeleye                   | PF    |       1.17 |     0.50
  17 | Harry Giles                    | C,PF  |       1.14 |     2.50
  18 | Jonah Bolden                   | C,PF  |       0.90 |     0.00
  19 | D.J. Wilson                    | PF    |       0.67 |     1.00

--- Draft Class 2018, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Marvin Bagley III              | C,PF  |       2.86 |     1.00
   2 | Jaren Jackson Jr.              | C,PF  |       2.80 |     4.50
   3 | Wendell Carter Jr.             | C,PF  |       2.56 |     4.00
   4 | Deandre Ayton                  | C     |       2.40 |     4.50
   5 | Mo Bamba                       | C     |       1.98 |     2.50
   6 | Jarred Vanderbilt              | PF    |       1.70 |     3.00
   7 | Robert Williams                | C     |       1.53 |     3.00
   8 | Moritz Wagner                  | C     |       1.36 |     2.50
   9 | Omari Spellman                 | C,PF  |       1.04 |     0.00
  10 | Ray Spalding                   | PF,C  |       1.01 |     0.00
  11 | Kevin Hervey                   | PF    |       0.99 |     0.00
  12 | Chimezie Metu                  | C,PF  |       0.57 |     1.00
  13 | Thomas Welsh                   | C     |       0.55 |     0.00

--- Draft Class 2019, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Zion Williamson                | PF    |       2.87 |     4.50
   2 | Grant Williams                 | PF    |       2.42 |     2.50
   3 | Jaxson Hayes                   | C     |       2.33 |     2.50
   4 | Bol Bol                        | PF    |       1.97 |     2.50
   5 | Brandon Clarke                 | PF    |       1.97 |     1.00
   6 | Rui Hachimura                  | PF    |       1.80 |     3.00
   7 | Cameron Johnson                | PF    |       1.72 |     3.00
   8 | Bruno Fernando                 | C     |       1.66 |     1.00
   9 | Nic Claxton                    | C     |       1.61 |     4.00
  10 | Daniel Gafford                 | C,PF  |       1.53 |     3.00
  11 | P.J. Washington                | PF,C  |       1.48 |     3.00
  12 | KZ Okpala                      | PF    |       1.45 |     0.50
  13 | Mfiondu Kabengele              | PF,C  |       1.32 |     0.50
  14 | Eric Paschall                  | PF    |       1.13 |     1.00
  15 | Jarrell Brantley               | PF    |       1.10 |     0.50
  16 | Isaiah Roby                    | PF    |       0.68 |     1.00
  17 | Dewan Hernandez                | C     |       0.40 |     0.00

--- Draft Class 2020, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | James Wiseman                  | C     |       2.91 |     1.00
   2 | Zeke Nnaji                     | PF    |       2.59 |     1.00
   3 | Onyeka Okongwu                 | C     |       2.43 |     3.00
   4 | Vernon Carey Jr.               | C     |       2.28 |     0.50
   5 | Isaiah Stewart                 | C,PF  |       2.24 |     2.50
   6 | Jalen Smith                    | C,PF  |       2.23 |     0.50
   7 | Reggie Perry                   | PF    |       2.08 |     0.00
   8 | Obi Toppin                     | PF    |       1.89 |     3.00
   9 | Udoka Azubuike                 | C     |       1.84 |     0.50
  10 | Xavier Tillman Sr.             | C,PF  |       1.71 |     2.50
  11 | Daniel Oturu                   | C     |       1.65 |     0.00
  12 | Patrick Williams               | PF    |       1.28 |     3.00
  13 | Precious Achiuwa               | C,PF  |       1.11 |     2.50
  14 | Paul Reed                      | C,PF  |       0.98 |     2.50
  15 | Nick Richards                  | C,PF  |       0.77 |     2.50

--- Draft Class 2021, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Evan Mobley                    | PF    |       2.53 |     4.50
   2 | Isaiah Jackson                 | C     |       2.26 |     1.00
   3 | Neemias Queta                  | C     |       2.05 |     0.50
   4 | Charles Bassey                 | C     |       1.99 |     0.50
   5 | JT Thor                        | PF    |       1.98 |     0.50
   6 | Day'Ron Sharpe                 | C,PF  |       1.95 |     2.50
   7 | Jeremiah Robinson-Earl         | PF,C  |       1.92 |     1.00
   8 | Santi Aldama                   | PF    |       1.54 |     3.00
   9 | Kai Jones                      | C     |       1.53 |     0.50
  10 | Sandro Mamukelashvili          | C,PF  |       1.51 |     0.50
  11 | Filip PetruÅ¡ev                | C     |       1.46 |     0.00
  12 | Luka Garza                     | C     |       1.23 |     0.50
  13 | RaiQuan Gray                   | PF    |       0.80 |     0.00
  14 | Jericho Sims                   | C,PF  |       0.76 |     1.00
  15 | BalÅ¡a Koprivica               | C     |       0.66 |     0.00

Top 50 features by |Pearson corr| with Player Tier:

Age                      : 0.371
Seasons Played (College) : 0.325
C_BPM                    : 0.236
College Strength         : 0.195
C_DBPM                   : 0.185
C_OBPM                   : 0.162
CT_SRS                   : 0.136
C_PER                    : 0.132
C_STL/40                 : 0.119
C_STL%                   : 0.110
C_ORtg                   : 0.105
Relatives                : 0.095
C_PTS/40                 : 0.095
C_DRtg                   : 0.076
BMI                      : 0.063
C_FG%                    : 0.061
C_AST/40                 : 0.059
C_FTA/40                 : 0.058
CT_ORtg                  : 0.055
C_FGA/40                 : 0.055
C_TOV/40                 : 0.050
C_AST%                   : 0.050
C_USG%                   : 0.048
CT_Win%                  : 0.042
Height                   : 0.040
C_GS%                    : 0.038
C_G                      : 0.034
C_TRB/40                 : 0.032
C_3PA/40                 : 0.030
C_AST_TO                 : 0.030
CT_DRtg                  : 0.027
C_BLK/40                 : 0.017
C_BLK_MPG                : 0.017
Weight                   : 0.017
C_BLK%                   : 0.015
C_3P%                    : 0.012
C_FT%                    : 0.010
C_MPG                    : 0.008
C_ORB_DRB                : 0.005

Top 50 features by RandomForest importance:

Age                      : 0.182
C_BPM                    : 0.057
C_DBPM                   : 0.051
C_MPG                    : 0.045
