Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
Lamar Patterson,2014,SG,Guards,2.28,0
Semaj Christon,2014,PG,Guards,1.57,0
Devyn Marble,2014,SG,Guards,1.14,0
Jordan McRae,2014,"SG,PG",Guards,1.27,0
Xavier Thames,2014,"PG,SG",Guards,2.32,0
Tyrone Wallace,2016,"SG,PG",Guards,1.1,0
D'Angelo Russell,2015,PG,Guards,5.8,7
Devin Booker,2015,"SG,PG",Guards,4.47,7
Cameron Payne,2015,"PG,SG",Guards,2.39,3
Terry Rozier,2015,"PG,SG",Guards,1.98,3
Rashad Vaughn,2015,SG,Guards,3.17,0
Jerian Grant,2015,"PG,SG",Guards,0.87,0
Delon Wright,2015,"PG,SG",Guards,2.28,0
Tyus Jones,2015,PG,Guards,5.05,3
R.J. Hunter,2015,SG,Guards,0.51,0
Jabari Bird,2017,SG,Guards,0.75,0
Pat Connaughton,2015,SG,Guards,2.23,3
Olivier Hanlan,2015,"SG,PG",Guards,0.21,0
Joe Young,2015,PG,Guards,0.17,0
Andrew Harrison,2015,PG,Guards,0.87,0
Marcus Thornton,2015,SG,Guards,0.82,0
Norman Powell,2015,SG,Guards,0.51,5
Tyler Harvey,2015,"PG,SG",Guards,1.6,0
Darrun Hilliard,2015,SG,Guards,1.66,0
Lonzo Ball,2017,PG,Guards,5.86,5
Kris Dunn,2016,PG,Guards,1.65,3
Buddy Hield,2016,SG,Guards,3.27,5
Denzel Valentine,2016,SG,Guards,3.02,0
Wade Baldwin,2016,PG,Guards,3.21,0
Malik Beasley,2016,SG,Guards,2.86,3
Malachi Richardson,2016,SG,Guards,1.27,0
Tyler Ulis,2016,PG,Guards,2.56,0
Malcolm Brogdon,2016,"PG,SG",Guards,0.49,5
Patrick McCaw,2016,SG,Guards,1.19,0
Isaiah Whitehead,2016,PG,Guards,0.71,0
Demetrius Jackson,2016,PG,Guards,0.27,0
Justinian Jessup,2020,SG,Guards,1.41,0
Michael Gbinije,2016,SG,Guards,0.45,0
Kay Felder,2016,PG,Guards,3.44,0
Marcus Paige,2016,PG,Guards,1.65,0
Daniel Hamilton,2016,SG,Guards,1.49,0
Isaiah Cousins,2016,"PG,SG",Guards,0.33,0
Markelle Fultz,2017,"PG,SG",Guards,5.71,3
Cade Cunningham,2021,"PG,SG",Guards,4.93,7
De'Aaron Fox,2017,PG,Guards,3.8,7
Luke Kennard,2017,SG,Guards,2.88,3
Donovan Mitchell,2017,"SG,PG",Guards,2.78,7
Derrick White,2017,"SG,PG",Guards,1.04,5
Josh Hart,2017,SG,Guards,1.21,5
Frank Jackson,2017,PG,Guards,2.91,0
Davon Reed,2017,SG,Guards,0.62,0
Frank Mason III,2017,PG,Guards,1.24,0
Jawun Evans,2017,PG,Guards,2.03,0
Dwayne Bacon,2017,SG,Guards,1.78,0
Tyler Dorsey,2017,SG,Guards,0.8,0
Damyean Dotson,2017,SG,Guards,2.57,0
Monte Morris,2017,PG,Guards,1.82,3
Edmond Sumner,2017,"SG,PG",Guards,0.95,0
Kadeem Allen,2017,PG,Guards,0.42,0
Nigel Williams-Goss,2017,PG,Guards,1.5,0
Trae Young,2018,PG,Guards,4.76,7
Collin Sexton,2018,"SG,PG",Guards,3.42,3
Shai Gilgeous-Alexander,2018,"PG,SG",Guards,3.92,7
Jerome Robinson,2018,SG,Guards,0.54,0
Donte DiVincenzo,2018,SG,Guards,0.53,3
Lonnie Walker IV,2018,SG,Guards,2.98,3
Grayson Allen,2018,SG,Guards,1.17,3
Aaron Holiday,2018,PG,Guards,0.35,0
Landry Shamet,2018,SG,Guards,1.36,3
Jacob Evans,2018,SG,Guards,3.38,0
Jevon Carter,2018,PG,Guards,1.77,0
Jalen Brunson,2018,"PG,SG",Guards,1.12,7
Devonte' Graham,2018,PG,Guards,0.66,3
Melvin Frazier,2018,SG,Guards,0.71,0
Gary Trent Jr.,2018,SG,Guards,3.26,3
Khyri Thomas,2018,SG,Guards,1.35,0
Bruce Brown,2018,SG,Guards,0.33,3
Hamidou Diallo,2018,SG,Guards,1.93,0
De'Anthony Melton,2018,"PG,SG",Guards,2.1,3
Tony Carr,2018,"PG,SG",Guards,1.01,0
Devon Hall,2018,PG,Guards,2.07,0
Shake Milton,2018,SG,Guards,0.7,0
Darius Garland,2019,"PG,SG",Guards,2.16,7
Jarrett Culver,2019,SG,Guards,5.07,0
Coby White,2019,"PG,SG",Guards,4.73,5
Dalano Banton,2021,PG,Guards,0.94,0
Tyler Herro,2019,SG,Guards,5.05,7
Romeo Langford,2019,SG,Guards,2.35,0
Nickeil Alexander-Walker,2019,SG,Guards,0.38,3
Matisse Thybulle,2019,SG,Guards,2.01,3
Ty Jerome,2019,SG,Guards,0.96,3
Jordan Poole,2019,"SG,PG",Guards,2.8,5
Kevin Porter Jr.,2019,SG,Guards,0.96,3
Carsen Edwards,2019,SG,Guards,1.11,0
Jaylen Nowell,2019,SG,Guards,2.04,0
Talen Horton-Tucker,2019,"SG,PG",Guards,2.92,3
Quinndary Weatherspoon,2019,SG,Guards,0.46,0
Tremont Waters,2019,PG,Guards,2.01,0
Marial Shayok,2019,SG,Guards,0.32,0
Kyle Guy,2019,"SG,PG",Guards,1.72,0
Jaylen Hands,2019,"PG,SG",Guards,1.94,0
Jordan Bone,2019,PG,Guards,0.37,0
Anthony Edwards,2020,SG,Guards,1.42,7
Kira Lewis Jr.,2020,PG,Guards,2.23,0
Cole Anthony,2020,PG,Guards,2.41,3
Josh Green,2020,SG,Guards,2.55,3
Ben Simmons,2016,PG,Guards,5.27,7
Immanuel Quickley,2020,"PG,SG",Guards,0.36,3
Payton Pritchard,2020,"PG,SG",Guards,0.3,3
Malachi Flynn,2020,PG,Guards,1.23,0
Tyrell Terry,2020,PG,Guards,4.78,0
Tre Jones,2020,PG,Guards,0.64,3
Jahmi'us Ramsey,2020,SG,Guards,2.38,0
Nico Mannion,2020,PG,Guards,3.59,0
Isaiah Joe,2020,SG,Guards,1.62,3
Skylar Mays,2020,"SG,PG",Guards,0.47,0
Cassius Winston,2020,PG,Guards,0.43,0
Cassius Stanley,2020,SG,Guards,0.94,0
Grant Riller,2020,PG,Guards,0.57,0
Jalen Harris,2020,SG,Guards,0.47,0
Davion Mitchell,2021,PG,Guards,1.12,3
James Bouknight,2021,SG,Guards,1.14,0
Joshua Primo,2021,SG,Guards,2.16,0
Moses Moody,2021,SG,Guards,2.77,3
Tre Mann,2021,PG,Guards,1.46,3
Keon Johnson,2021,SG,Guards,0.71,3
Josh Christopher,2021,SG,Guards,3.16,0
Quentin Grimes,2021,SG,Guards,2.64,5
Bones Hyland,2021,"PG,SG",Guards,1.66,3
Jaden Springer,2021,"SG,PG",Guards,1.36,0
Jason Preston,2021,PG,Guards,0.65,0
Miles McBride,2021,PG,Guards,1.92,3
Ayo Dosunmu,2021,SG,Guards,1.62,3
Jared Butler,2021,"PG,SG",Guards,3.2,0
Joe Wieskamp,2021,SG,Guards,2.04,0
